id,name,country,papers count
7006636552,"Bowers, Stephen R.",United states,2
7006131462,"Rowley, Gwyn",United kingdom,1
7403052297,"Gardner, J.L.",Australia,1
6506038877,"Barylski, Robert V.",United states,3
54942434800,"Atkin, Muriel",United states,4
7006328243,"Correa, Hector",United states,1
57189585653,"Kim, Ji-Won",South korea,1
58386376900,"Halstead, Mark",Russian federation,1
56980593700,"Permitin, Viktor E.",Russian federation,1
7004523729,"Tikunov, V.S.",Russian federation,5
16424033100,"Zajceva, Aleksandra G.",Russian federation,1
57198855088,"Surendar, T.",India,1
7003772715,"Pyatt, F.B.",United kingdom,1
7005539732,"Beaumont, E.H.",United kingdom,1
57189572016,"Fergus, Silvia P.",United kingdom,1
16429030300,"Kohli, Wendy",United states,1
6701366242,"Tedin, Kent L.",United states,2
57213019875,"Kramer, Mark",United states,1
7003414497,"Forsythe, David P.",United states,1
6507655672,"Coppieters, Bruno",Belgium,3
58429059300,"McAuley, Mary",United kingdom,1
7102952983,"Dixon, William J.",United states,1
57189541098,"Gaarder, Stephen M.",United states,1
6508118433,"Finifter, Ada W.",United states,2
8690670200,"Mickiewicz, Ellen",United states,4
36923280300,"Sharp, Paul",United states,1
16023865900,"Borer, Douglas A.",United states,4
57196832819,"Kohout, John J.",United states,2
55219543000,"Dillon, Michael",United kingdom,1
57213489805,"Schott, Thomas",United states,1
57157092100,"Ozerov, Mikhail V.",Russian federation,1
57649857100,"Goldman, Minton F.",United states,1
6602537102,"Franckx, Erik",Belgium,2
57188773488,"Saar, Andrus",Estonia,1
57188780389,"Joe, Liivi",Estonia,1
16422252800,"Piskunov, Dimitry I.",Russian federation,1
22235803800,"Saltykov, Boris",Russian federation,1
9336182200,"Payne, Keith B.",United states,8
57213046937,"Williams, John T.",United states,1
8927164600,"Mcginnis, Michael D.",United states,1
56981180800,"Hurd, Douglas",United kingdom,1
57041660700,"Dickinson, Ben",United kingdom,1
57046777800,"Bernstein, George",United kingdom,1
35515507900,"Adams, John S.",United states,2
6503968797,"VanDrasek, Barbara J.",United states,1
36870732600,"Youngblood, Denise J.",United states,6
57189531328,"Hartley, Thomas",United states,1
7003920974,"Russett, Bruce Martin",United states,2
57638761900,"Alexander, Michael",United kingdom,1
9132465800,"Menicucci, Garay",Egypt,2
6602228534,"Danchev, Alex",United kingdom,1
8143202500,"Smith, M. Brewster",United states,1
57012819600,"Elder, Bob",United states,1
57012934800,"Swiecicki, Juliet A.",United states,1
7006141979,"Nicholas, SIÂN",United kingdom,1
56976778800,"Lenches, Elisabeth Tamedly",Colombia,1
6602178606,"Safran, William",United states,1
57189163497,"Pichugin, Boris M.",Russian federation,1
6604090473,"Gaddy, Gary D.",United states,1
57012702800,"Vlahos, Linda H.",United states,2
57012786700,"Deane, Michael J.",United states,1
56981172800,"Berkowitz, Marc J.",United states,1
7003533752,"Knudsen, Olav Fagelund",Norway,3
7003998399,"Vainshtein, Grigorii",Russian federation,1
57194695864,"Shishkin, Vladimir I.",Russian federation,3
56053753700,"Chufrin, Gennady",Russian federation,1
57189425412,"Jenswold, Joel",United states,1
6506457772,"Parle, William",United states,1
6506877670,"Westad, Odd Arne",United kingdom,4
57221012154,"Johnson, Mark S.",United states,1
6701521651,"Eitzen, D. Stanley",United states,1
7004294917,"Carver, Terrell",United kingdom,1
16033031500,"Lentini, Peter",Australia,3
57084492300,"Walker, Edward W.",United states,1
56919806200,"Anderson, Sandra C.",United states,1
57189174294,"Hibbs, Valerie K.",United states,1
57012566200,"Porter, Bruce D.",United states,3
55492819100,"Anderson, Richard D.",United states,8
7102188474,"Hermann, Margaret G.",United states,1
7005761833,"Hermann, Charles F.",United states,2
57212234638,"Smirnov, Alexander D.",United states,1
57189162652,"Ershov, Emil B.",Russian federation,1
37083363300,"Jalonen, Olli-Pekka",Finland,1
57189175187,"Vesa, Unto",Finland,1
57646215100,"Parker, Richard B.",United states,1
55053466100,"Smele, J.D.",United kingdom,1
57028809700,"Taylor, Bill",United kingdom,1
57189555265,"Choate, Pat",United states,1
7101824503,"Mack, Andrew",Australia,3
7202705109,"Ball, Desmond",Australia,2
7202852559,"Richardson, William",United states,4
54780737600,"Tyulin, I.G.",Russian federation,1
56981059400,"Smith, Mark",United kingdom,1
16435712900,"Maggs, Peter B.",United states,4
57188791279,"Shablinskii, I.G.",Russian federation,1
56981278300,"Grachev, Pavel S.",United kingdom,1
57151989000,"Park, Andrus",United states,1
7402202754,"Gray, Colin S.",United states,6
6603690579,"Hendley, Kathryn",United states,14
57198420405,"Radaev, Vadim V.",Russian federation,4
25936934700,"Shkaratan, O.I.",Russian federation,4
35306058000,"Zagorskij, Andrej",Russian federation,2
57200711110,"Ward, Michael D.",United states,3
6505941114,"Rajmaira, Sheen",United states,1
6602365548,"Sylvan, Donald A.",United states,2
36895374100,"Thorson, Stuart J.",United states,1
16462503200,"Fehér, Ferenc",United states,3
57188796542,"Boeva, Irina",Russian federation,1
57188793647,"Shironin, Vyacheslav",Russian federation,1
23134727300,"Castex, Graciela M.",United states,1
7406290864,"Miller, Steven E.",United states,5
35979356900,"Grant, Nigel",United kingdom,2
55333184900,"Basovskaya, Natalya",Russian federation,1
7404079214,"White, Stephen",United kingdom,1
7004559140,"Rogov, Sergei",United states,1
6602809974,"Shambaugh, David",University of london,1
11939504500,"Pluchinsky, Dennis A.",United states,2
6505800510,"Pchelintsev, Oleg S.",Russian federation,1
57029760900,"Hahn, Deborah Fuller",United states,1
36498705200,"Redlich, Shimon",Israel,1
57605268500,"Checinski, Michael",Russian federation,1
57351012500,"Kuiper, Marcus",Russian federation,1
35075715800,"Colton, Timothy J.",United states,8
57167301800,"Grossman, Gregory",United states,2
57024665500,"Holloway, David",United kingdom,10
8614077500,"Szporluk, Roman",United states,4
6701599344,"Burawoy, Michael",United states,5
14919169800,"Campbell, Adrian",United kingdom,1
24328261400,"Wylleman, Edouard",United kingdom,1
6507601407,"Perasso, Giancarlo",Italy,1
57036813200,"Saguirian, Artemy A.",Russian federation,1
55979461200,"Accart, Jean-Philippe",France,1
7401826680,"Cox, Michael",United kingdom,15
24324199900,"Butler, William",United states,11
57017308000,"Wimberg, Ellen",United states,1
57193307016,"Brine, Jenny J.",United kingdom,1
7103157737,"Drachman, Diane",United states,1
57042470700,"Halberstadt, Anna",United states,1
56871863900,"Haarmann, Harald",Finland,2
7202080830,"Moses, Joel",United states,5
57036828100,"Parvanta, Sultana",United states,2
57029886800,"Blake, Samuel W.",United states,1
23482764200,"Shevtsova, Lilia",Chatham house,6
57046828500,"Swoboda, Victor",United kingdom,1
55420118200,"Hoffman, John",United kingdom,1
55482737000,"Davis, Robert H.",United states,4
57213999692,"Harding, Harry",United states,3
57064656800,"Fitzgerald, Mary C.",United states,2
8960767600,"Imai, Kunihiko",United states,2
7003870223,"Garver, John W.",United states,2
6504419123,"Doroguntsov, Sergey I.",Ukraine,1
7003966160,"Onishchenko, Vladimir F.",Ukraine,1
7103115791,"Kozlov, Leonard A.",Russian federation,1
6504494717,"Shtoulberg, Boris M.",Russian federation,1
57005384800,"Chumachenko, Nikolai G.",Russian federation,1
24319694700,"Böhme, Hans",Germany,1
6504338437,"Shnieper, Ruvin I.",Russian federation,1
24369436700,"Jasani, Bhupendra",United kingdom,1
7402458129,"Simon, Sheldon W.",United states,5
7201402402,"Robinson, Neil",Ireland,12
57214345217,"Javed Maswood, S.",Australia,1
16411484800,"Dashkov, Gennady V.",Russian federation,1
24449313600,"Jessel, John",United kingdom,1
57166915400,"Hill, Graham Byrne",United kingdom,1
8888576300,"Booth, Ken",United kingdom,3
57210610488,"Naumkin, Vitaly",Moscow university,1
26036851600,"Wettig, Gerhard",United states,4
57214282401,"Levine, Steven I.",Harvard university,1
57225348610,"Dostál, Petr F.",Netherlands,1
6602194963,"Knippenberg, Hans",Netherlands,2
57190611402,"Schull, Joseph",United states,1
6507481989,"Nikolajew, Vadim",Germany,1
23398201500,"Roberts, Geoffrey",Ireland,4
57012889700,"Covington, Stephen R.",Belgium,1
57012724200,"Lough, John",United kingdom,1
