source,target,weight
7003772715,7005539732,0.5
6602286499,6701366242,0.3333333333333333
6701366242,7403389716,0.3333333333333333
57189541098,7102952983,0.5
6508118433,8690670200,0.5
57188773488,57188780389,0.5
16422252800,22235803800,0.5
57213046937,8927164600,0.5
57041660700,57046777800,0.5
35515507900,6503968797,0.5
57189531328,7003920974,0.5
39461277500,6604090473,0.5
56981172800,57012702800,0.3333333333333333
56981172800,57012786700,0.3333333333333333
57012702800,57012786700,0.3333333333333333
57189425412,6506457772,0.5
56919806200,57189174294,0.5
55492819100,7005761833,0.3333333333333333
55492819100,7102188474,0.3333333333333333
7005761833,7102188474,0.3333333333333333
57189162652,57212234638,0.5
37083363300,57189175187,0.5
7101824503,7202705109,0.5
25936934700,57198420405,0.5
57200711110,6505941114,0.5
36895374100,6602365548,0.5
57188793647,57188796542,0.5
57351012500,57605268500,0.5
35075715800,57024665500,0.16666666666666666
35075715800,57167301800,0.16666666666666666
35075715800,6602367608,0.3333333333333333
35075715800,6602850209,0.3333333333333333
35075715800,8614077500,0.16666666666666666
57024665500,57167301800,0.16666666666666666
57024665500,6602367608,0.16666666666666666
57024665500,6602850209,0.16666666666666666
57024665500,8614077500,0.16666666666666666
57167301800,6602367608,0.16666666666666666
57167301800,6602850209,0.16666666666666666
57167301800,8614077500,0.16666666666666666
6602367608,8614077500,0.16666666666666666
6602850209,8614077500,0.16666666666666666
6603690579,6701599344,0.5
57042470700,7103157737,0.5
6504419123,7003966160,0.5
6504494717,7103115791,0.5
24449313600,57166915400,0.5
57225348610,6602194963,0.5
57012724200,57012889700,0.5
57189672022,6603181544,0.5
36786729900,8517441900,0.3333333333333333
36786729900,8648827200,0.3333333333333333
8517441900,8648827200,0.3333333333333333
56368952400,7102544272,0.5
6508009753,6602328622,0.5
6602852172,7102875685,0.5
6507176455,7101642305,0.5
57207789594,7005361431,1.0
7003397317,7401797345,0.5
7102953434,7408262980,0.5
6506508955,6701599344,1.0
35617060300,35866164000,0.25
35617060300,6506444591,0.25
